id,organization_id,name,code,min_system_size_kw,max_system_size_kw,electrical_work,fixed_material_cost,variable_floor_cost,structure_3/5 feet,installation_charges,msedcl_charges,Loading Unloading charges,floor_increment_percentage,transport_rate_per_km,effective_from,is_active
INST-001,ORG-001,Installation Charges 1KW,INST-1KW,1,1,3500,8500,1516,7316,1500,1500,1500,25,35,2024-01-01,TRUE
INST-002,ORG-001,Installation Charges 2KW,INST-2KW,2,2,3500,8500,3032,9480,3000,1500,1500,25,35,2024-01-01,TRUE
INST-003,ORG-001,Installation Charges 3KW,INST-3KW,3,3,4200,8500,4548,13336,4400,1500,1500,25,35,2024-01-01,TRUE
INST-004,ORG-001,Installation Charges 4KW,INST-4KW,4,4,4800,8500,6064,19960,5600,1500,2000,25,35,2024-01-01,TRUE
INST-005,ORG-001,Installation Charges 5KW,INST-5KW,5,5,6000,8500,7580,20820,7000,2000,2000,25,35,2024-01-01,TRUE
INST-006,ORG-001,Installation Charges 6KW,INST-6KW,6,6,6500,8500,9096,22350,8400,2000,2000,25,35,2024-01-01,TRUE
INST-007,ORG-001,Installation Charges 7KW,INST-7KW,7,7,7200,17807,10612,23000,9000,2000,2000,25,35,2024-01-01,TRUE
INST-008,ORG-001,Installation Charges 8KW,INST-8KW,8,8,8000,17807,12128,23796,9600,2500,2500,25,35,2024-01-01,TRUE
INST-009,ORG-001,Installation Charges 9KW,INST-9KW,9,9,8500,17857,13644,27000,10800,2500,2500,25,35,2024-01-01,TRUE
INST-010,ORG-001,Installation Charges 10KW,INST-10KW,10,10,8500,17857,15160,35545,12000,2500,2500,25,35,2024-01-01,TRUE
INST-011,ORG-001,Installation Charges 11KW,INST-11KW,11,11,10000,17857,16676,40000,13000,2500,2500,25,35,2024-01-01,TRUE
INST-012,ORG-001,Installation Charges 12KW,INST-12KW,12,12,10000,17857,18192,44701,14400,2500,2500,25,35,2024-01-01,TRUE
INST-013,ORG-001,Installation Charges 13KW,INST-13KW,13,13,12000,17857,19708,48000,15600,2500,2500,25,35,2024-01-01,TRUE
INST-014,ORG-001,Installation Charges 14KW,INST-14KW,14,14,12000,17857,21224,52000,17000,2500,2500,25,35,2024-01-01,TRUE
INST-015,ORG-001,Installation Charges 15KW,INST-15KW,15,15,12000,22711,22740,53325,18000,2500,2500,25,35,2024-01-01,TRUE
INST-016,ORG-001,Installation Charges 16KW,INST-16KW,16,16,12000,22711,16825,56880,18000,2200,2500,25,35,2024-01-01,TRUE
INST-017,ORG-001,,,17,17,12000,22711,16825,60435,19000,2200,2500,25,35,2024-01-01,TRUE
INST-018,ORG-001,,,18,18,15000,22711,19225,63990,20000,2200,2500,25,35,2024-01-01,TRUE
INST-019,ORG-001,,,19,19,15000,22711,19225,67545,22000,2200,2500,25,35,2024-01-01,TRUE
INST-020,ORG-001,,,20,20,15000,22711,19225,71100,24000,2200,3000,25,35,2024-01-01,TRUE
INST-021,ORG-001,,,21,21,15000,22711,27580,74655,25200,4800,3500,25,35,2024-01-01,TRUE
INST-022,ORG-001,,,22,22,15000,22711,27580,78210,26400,4800,3500,25,35,2024-01-01,TRUE
INST-023,ORG-001,,,23,23,15000,22711,27580,81765,27600,4800,3500,25,35,2024-01-01,TRUE
INST-024,ORG-001,,,24,24,15000,22711,27580,85320,28800,4800,3500,25,35,2024-01-01,TRUE
INST-025,ORG-001,,,25,25,20000,22711,27580,88875,30000,4800,3500,25,35,2024-01-01,TRUE
INST-026,ORG-001,,,26,26,20000,60939,27580,92430,31200,4800,3500,25,35,2024-01-01,TRUE
INST-027,ORG-001,,,27,27,20000,60939,27580,95985,32400,4800,3500,25,35,2024-01-01,TRUE
INST-028,ORG-001,,,28,28,20000,60939,27580,99540,33600,4800,3500,25,35,2024-01-01,TRUE
INST-029,ORG-001,,,29,29,20000,60939,27580,103095,34800,4800,3500,25,35,2024-01-01,TRUE
INST-030,ORG-001,,,30,30,20000,60939,27580,106650,36000,4800,4000,25,35,2024-01-01,TRUE
INST-031,ORG-001,,,31,31,25000,60939,44500,110205,37200,7000,4000,25,35,2024-01-01,TRUE
INST-032,ORG-001,,,32,32,25000,60939,44500,113760,38400,7000,4000,25,35,2024-01-01,TRUE
INST-033,ORG-001,,,33,33,25000,60939,44500,117315,39600,7000,4000,25,35,2024-01-01,TRUE
INST-034,ORG-001,,,34,34,25000,60939,44500,120870,40800,7000,4000,25,35,2024-01-01,TRUE
INST-035,ORG-001,,,35,35,25000,60939,44500,124425,42000,7000,5000,25,35,2024-01-01,TRUE
INST-036,ORG-001,,,36,36,25000,60939,44500,127980,43200,7000,5000,25,35,2024-01-01,TRUE
INST-037,ORG-001,,,37,37,25000,60939,44500,131535,44400,7000,5000,25,35,2024-01-01,TRUE
INST-038,ORG-001,,,38,38,30000,60939,44500,135090,45600,7000,5000,25,35,2024-01-01,TRUE
INST-039,ORG-001,,,39,39,30000,60939,44500,138645,46800,7000,5000,25,35,2024-01-01,TRUE
INST-040,ORG-001,,,40,40,30000,60939,44500,142200,48000,7000,5000,25,35,2024-01-01,TRUE
INST-041,ORG-001,,,41,41,30000,60939,44500,145755,49200,7000,5000,25,35,2024-01-01,TRUE
INST-042,ORG-001,,,42,42,30000,60939,44500,149310,50400,7000,5000,25,35,2024-01-01,TRUE
INST-043,ORG-001,,,43,43,30000,60939,44500,152865,51600,7000,5000,25,35,2024-01-01,TRUE
INST-044,ORG-001,,,44,44,30000,60939,44500,156420,52800,7000,5000,25,35,2024-01-01,TRUE
INST-045,ORG-001,,,45,45,30000,60939,44500,159975,54000,7000,5000,25,35,2024-01-01,TRUE
INST-046,ORG-001,,,46,46,30000,60939,44500,163530,55200,7000,5000,25,35,2024-01-01,TRUE
INST-047,ORG-001,,,47,47,30000,60939,44500,167085,56400,7000,5000,25,35,2024-01-01,TRUE
INST-048,ORG-001,,,48,48,30000,60939,44500,170640,57600,7000,5000,25,35,2024-01-01,TRUE
INST-049,ORG-001,,,49,49,30000,60939,44500,174195,58800,7000,5000,25,35,2024-01-01,TRUE
INST-050,ORG-001,,,50,50,30000,63456,44500,177750,60000,7000,5000,25,35,2024-01-01,TRUE
INST-051,ORG-001,,,51,51,30000,63456,60000,181305,61200,9000,5000,25,35,2024-01-01,TRUE
INST-052,ORG-001,,,52,52,30000,63456,60000,184860,62400,9000,5000,25,35,2024-01-01,TRUE
INST-053,ORG-001,,,53,53,30000,63456,60000,188415,63600,9000,5000,25,35,2024-01-01,TRUE
INST-054,ORG-001,,,54,54,30000,63456,60000,191970,64800,9000,5000,25,35,2024-01-01,TRUE
INST-055,ORG-001,,,55,55,30000,63456,60000,195525,66000,9000,5000,25,35,2024-01-01,TRUE
INST-056,ORG-001,,,56,56,30000,63456,60000,199080,67200,9000,5000,25,35,2024-01-01,TRUE
INST-057,ORG-001,,,57,57,30000,63456,60000,202635,68400,9000,5000,25,35,2024-01-01,TRUE
INST-058,ORG-001,,,58,58,40000,63456,60000,206190,69600,9000,5000,25,35,2024-01-01,TRUE
INST-059,ORG-001,,,59,59,40000,63456,60000,209745,70800,9000,5000,25,35,2024-01-01,TRUE
INST-060,ORG-001,,,60,60,40000,63456,60000,213300,72000,9000,5000,25,35,2024-01-01,TRUE
INST-061,ORG-001,,,61,61,40000,63456,60000,216855,73200,9000,8000,25,35,2024-01-01,TRUE
INST-062,ORG-001,,,62,62,40000,63456,60000,220410,74400,9000,8000,25,35,2024-01-01,TRUE
INST-063,ORG-001,,,63,63,40000,63456,60000,223965,75600,9000,8000,25,35,2024-01-01,TRUE
INST-064,ORG-001,,,64,64,40000,63456,60000,227520,76800,9000,8000,25,35,2024-01-01,TRUE
INST-065,ORG-001,,,65,65,40000,63456,60000,231075,78000,9000,8000,25,35,2024-01-01,TRUE
INST-066,ORG-001,,,66,66,40000,63456,60000,234630,79200,9000,8000,25,35,2024-01-01,TRUE
INST-067,ORG-001,,,67,67,40000,63456,60000,238185,80400,9000,8000,25,35,2024-01-01,TRUE
INST-068,ORG-001,,,68,68,40000,63456,60000,241740,81600,9000,8000,25,35,2024-01-01,TRUE
INST-069,ORG-001,,,69,69,40000,63456,60000,245295,82800,9000,8000,25,35,2024-01-01,TRUE
INST-070,ORG-001,,,70,70,40000,83964,60000,248850,84000,9000,8000,25,35,2024-01-01,TRUE
INST-071,ORG-001,,,71,71,40000,83964,75000,252405,85200,11000,8000,25,35,2024-01-01,TRUE
INST-072,ORG-001,,,72,72,50000,83964,75000,255960,86400,11000,8000,25,35,2024-01-01,TRUE
INST-073,ORG-001,,,73,73,50000,83964,75000,259515,87600,11000,8000,25,35,2024-01-01,TRUE
INST-074,ORG-001,,,74,74,50000,83964,75000,263070,88800,11000,8000,25,35,2024-01-01,TRUE
INST-075,ORG-001,,,75,75,50000,83964,75000,266625,90000,11000,8000,25,35,2024-01-01,TRUE
INST-076,ORG-001,,,76,76,50000,83964,75000,270180,91200,11000,8000,25,35,2024-01-01,TRUE
INST-077,ORG-001,,,77,77,50000,83964,75000,273735,92400,11000,8000,25,35,2024-01-01,TRUE
INST-078,ORG-001,,,78,78,50000,83964,75000,277290,93600,11000,8000,25,35,2024-01-01,TRUE
INST-079,ORG-001,,,79,79,50000,83964,75000,280845,94800,11000,8000,25,35,2024-01-01,TRUE
INST-080,ORG-001,,,80,80,50000,83964,75000,284400,96000,11000,8000,25,35,2024-01-01,TRUE
INST-081,ORG-001,,,81,81,50000,83964,75000,287955,97200,11000,10000,25,35,2024-01-01,TRUE
INST-082,ORG-001,,,82,82,50000,83964,75000,291510,98400,11000,10000,25,35,2024-01-01,TRUE
INST-083,ORG-001,,,83,83,50000,83964,75000,295065,99600,11000,10000,25,35,2024-01-01,TRUE
INST-084,ORG-001,,,84,84,50000,83964,75000,298620,100800,11000,10000,25,35,2024-01-01,TRUE
INST-085,ORG-001,,,85,85,50000,83964,75000,302175,102000,11000,10000,25,35,2024-01-01,TRUE
INST-086,ORG-001,,,86,86,50000,83964,75000,305730,103200,11000,10000,25,35,2024-01-01,TRUE
INST-087,ORG-001,,,87,87,50000,83964,75000,309285,104400,11000,10000,25,35,2024-01-01,TRUE
INST-088,ORG-001,,,88,88,70000,83964,75000,312840,105600,11000,10000,25,35,2024-01-01,TRUE
INST-089,ORG-001,,,89,89,70000,83964,75000,316395,106800,11000,10000,25,35,2024-01-01,TRUE
INST-090,ORG-001,,,90,90,70000,83964,75000,319950,108000,11000,10000,25,35,2024-01-01,TRUE
INST-091,ORG-001,,,91,91,70000,83964,75000,323505,109200,11000,10000,25,35,2024-01-01,TRUE
INST-092,ORG-001,,,92,92,70000,83964,75000,327060,110400,11000,10000,25,35,2024-01-01,TRUE
INST-093,ORG-001,,,93,93,70000,83964,75000,330615,111600,11000,10000,25,35,2024-01-01,TRUE
INST-094,ORG-001,,,94,94,70000,83964,75000,334170,112800,11000,10000,25,35,2024-01-01,TRUE
INST-095,ORG-001,,,95,95,70000,83964,75000,337725,114000,11000,10000,25,35,2024-01-01,TRUE
INST-096,ORG-001,,,96,96,70000,83964,75000,341280,115200,11000,10000,25,35,2024-01-01,TRUE
INST-097,ORG-001,,,97,97,70000,83964,75000,344835,116400,11000,10000,25,35,2024-01-01,TRUE
INST-098,ORG-001,,,98,98,70000,83964,75000,348390,117600,11000,10000,25,35,2024-01-01,TRUE
INST-099,ORG-001,,,99,99,70000,83964,75000,351945,118800,11000,10000,25,35,2024-01-01,TRUE
INST-100,ORG-001,,,100,100,70000,83964,75000,355500,120000,11000,10000,25,35,2024-01-01,TRUE
