id,organization_id,name,code,description,rule_type,product_id,product_type,project_type,formula,effective_from,effective_to,priority,is_active
PRICE-001,ORG-001,Adani PERC DCR Panel - Residential Price,ADANI-PERC-DCR-RES,Base price for Adani PERC DCR panels for residential projects,base_price,PROD-001,solar_panel,residential,"{""pricePerWatt"":25.75,""taxRate"":05,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-002,ORG-001,Adani TOPCon DCR Panel - Residential Price,ADANI-TOPCON-DCR-RES,Base price for Adani TOPCon DCR panels for residential projects,base_price,PROD-002,solar_panel,residential,"{""pricePerWatt"":26.40,""taxRate"":05,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-003,ORG-001,Adani PERC Non-DCR Panel - Commercial Price,ADANI-PERC-NONDCR-COM,Base price for Adani PERC Non-DCR panels for commercial projects,base_price,PROD-003,solar_panel,commercial,"{""pricePerWatt"":15.00,""taxRate"":05,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-004,ORG-001,Adani TOPCon Non-DCR Panel - Commercial Price,ADANI-TOPCON-NONDCR-COM,Base price for Adani TOPCon Non-DCR panels for commercial projects,base_price,PROD-004,solar_panel,commercial,"{""pricePerWatt"":15.50,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-005,ORG-001,Waaree PERC DCR Panel - Residential Price,WAAREE-PERC-DCR-RES,Base price for Waaree PERC DCR panels for residential projects,base_price,PROD-005,solar_panel,residential,"{""pricePerWatt"":24.50,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-006,ORG-001,Waaree TOPCon DCR Panel - Residential Price,WAAREE-TOPCON-DCR-RES,Base price for Waaree TOPCon DCR panels for residential projects,base_price,PROD-006,solar_panel,residential,"{""pricePerWatt"":25,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-007,ORG-001,Waaree PERC Non-DCR Panel - Commercial Price,WAAREE-PERC-NONDCR-COM,Base price for Waaree PERC Non-DCR panels for commercial projects,base_price,PROD-007,solar_panel,commercial,"{""pricePerWatt"":14,""taxRate"":05,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-008,ORG-001,Waaree TOPCon Non-DCR Panel - Commercial Price,WAAREE-TOPCON-NONDCR-COM,Base price for Waaree TOPCon Non-DCR panels for commercial projects,base_price,PROD-008,solar_panel,commercial,"{""pricePerWatt"":14.5,""taxRate"":05,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-009,ORG-001,Premier PERC DCR Panel - Residential Price,PREMIER-PERC-DCR-RES,Base price for Premier PERC DCR panels for residential projects,base_price,PROD-009,solar_panel,residential,"{""pricePerWatt"":24.25,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE - 055,ORG-002,Premier TOPCON DCR Panel - Residential Price,PREMIER-TOPCON-DCR-RES,Base price for Premier TOPCON DCR panels for residential projects,,PROD -055,solar_panel,residential,"{""pricePerWatt"":24.5,""taxRate"":5,""currency"":""INR""}",2024-01-02,,10,TRUE
PRICE-010,ORG-001,Premier PERC Non-DCR Panel - Commercial Price,PREMIER-PERC-NONDCR-COM,Base price for Premier PERC Non-DCR panels for commercial projects,base_price,PROD-010,solar_panel,commercial,"{""pricePerWatt"":14,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-011,ORG-001,Premier TOPCon Non-DCR Panel - Commercial Price,PREMIER-TOPCON-NONDCR-COM,Base price for Premier TOPCon Non-DCR panels for commercial projects,base_price,PROD-011,solar_panel,commercial,"{""pricePerWatt"":14.50,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-012,ORG-001,Navitas PERC DCR Panel - Residential Price,NAVITAS-PERC-DCR-RES,Base price for Navitas PERC DCR panels for residential projects,base_price,PROD-012,solar_panel,residential,"{""pricePerWatt"":24,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-013,ORG-001,Navitas TOPCon Non-DCR Panel - Commercial Price,NAVITAS-TOPCON-NONDCR-COM,Base price for Navitas TOPCon Non-DCR panels for commercial projects,base_price,PROD-013,solar_panel,commercial,"{""pricePerWatt"":14.00,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-014,ORG-001,Vikram PERC DCR Panel - Residential Price,VIKRAM-PERC-DCR-RES,Base price for Vikram PERC DCR panels for residential projects,base_price,PROD-014,solar_panel,residential,"{""pricePerWatt"":27.00,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-015,ORG-001,Vikram TOPCon Non-DCR Panel - Commercial Price,VIKRAM-TOPCON-NONDCR-COM,Base price for Vikram TOPCon Non-DCR panels for commercial projects,base_price,PROD-015,solar_panel,commercial,"{""pricePerWatt"":16.00,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-016,ORG-001,Renewsys TOPCon Non-DCR Panel - Commercial Price,RENEWSYS-TOPCON-NONDCR-COM,Base price for Renewsys TOPCon Non-DCR panels for commercial projects,base_price,PROD-016,solar_panel,commercial,"{""pricePerWatt"":14.5,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-017,ORG-001,Sungrow 1KW 1-Phase Inverter Price,SUNGROW-1KW-1P-PRICE,Base price for Sungrow 1KW 1-Phase inverter,base_price,PROD-017,inverter,,"{""basePrice"":13500,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-018,ORG-001,Sungrow 2KW 1-Phase Inverter Price,SUNGROW-2KW-1P-PRICE,Base price for Sungrow 2KW 1-Phase inverter,base_price,PROD-018,inverter,,"{""basePrice"":14500,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-019,ORG-001,Sungrow 3KW 1-Phase Inverter Price,SUNGROW-3KW-1P-PRICE,Base price for Sungrow 3KW 1-Phase inverter,base_price,PROD-019,inverter,,"{""basePrice"":15800,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-020,ORG-001,Sungrow 4KW 1-Phase Inverter Price,SUNGROW-4KW-1P-PRICE,Base price for Sungrow 4KW 1-Phase inverter,base_price,PROD-020,inverter,,"{""basePrice"":26500,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-021,ORG-001,Sungrow 5KW 1-Phase Inverter Price,SUNGROW-5KW-1P-PRICE,Base price for Sungrow 5KW 1-Phase inverter,base_price,PROD-021,inverter,,"{""basePrice"":29000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-022,ORG-001,Sungrow 6KW 1-Phase Inverter Price,SUNGROW-6KW-1P-PRICE,Base price for Sungrow 6KW 1-Phase inverter,base_price,PROD-022,inverter,,"{""basePrice"":30000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-023,ORG-001,Sungrow 8KW 3-Phase Inverter Price,SUNGROW-8KW-3P-PRICE,Base price for Sungrow 8KW 3-Phase inverter,base_price,PROD-023,inverter,,"{""basePrice"":52000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-024,ORG-001,Sungrow 10KW 3-Phase Inverter Price,SUNGROW-10KW-3P-PRICE,Base price for Sungrow 10KW 3-Phase inverter,base_price,PROD-024,inverter,,"{""basePrice"":56000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-025,ORG-001,Sungrow 12KW 3-Phase Inverter Price,SUNGROW-12KW-3P-PRICE,Base price for Sungrow 12KW 3-Phase inverter,base_price,PROD-025,inverter,,"{""basePrice"":62000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-026,ORG-001,Sungrow 15KW 3-Phase Inverter Price,SUNGROW-15KW-3P-PRICE,Base price for Sungrow 15KW 3-Phase inverter,base_price,PROD-026,inverter,,"{""basePrice"":67000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-027,ORG-001,Sungrow 20KW 3-Phase Inverter Price,SUNGROW-20KW-3P-PRICE,Base price for Sungrow 20KW 3-Phase inverter,base_price,PROD-027,inverter,,"{""basePrice"":77000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-028,ORG-001,Sungrow 33KW 3-Phase Inverter Price,SUNGROW-33KW-3P-PRICE,Base price for Sungrow 33KW 3-Phase inverter,base_price,PROD-028,inverter,,"{""basePrice"":126000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-029,ORG-001,Sungrow 50KW 3-Phase Inverter Price,SUNGROW-50KW-3P-PRICE,Base price for Sungrow 50KW 3-Phase inverter,base_price,PROD-029,inverter,,"{""basePrice"":148000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-030,ORG-001,Sungrow 75KW 3-Phase Inverter Price,SUNGROW-75KW-3P-PRICE,Base price for Sungrow 75KW 3-Phase inverter,base_price,PROD-030,inverter,,"{""basePrice"":222000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-031,ORG-001,Sungrow 100KW 3-Phase Inverter Price,SUNGROW-100KW-3P-PRICE,Base price for Sungrow 100KW 3-Phase inverter,base_price,PROD-031,inverter,,"{""basePrice"":265000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-032,ORG-001,Goodwe 2KW 1-Phase Inverter Price,GOODWE-2KW-1P-PRICE,Base price for Goodwe 2KW 1-Phase inverter,base_price,PROD-032,inverter,,"{""basePrice"":15400,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-033,ORG-001,Goodwe 3KW 1-Phase Inverter Price,GOODWE-3KW-1P-PRICE,Base price for Goodwe 3KW 1-Phase inverter,base_price,PROD-033,inverter,,"{""basePrice"":15600,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-034,ORG-001,Goodwe 4KW 1-Phase Inverter Price,GOODWE-4KW-1P-PRICE,Base price for Goodwe 4KW 1-Phase inverter,base_price,PROD-034,inverter,,"{""basePrice"":30700,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-035,ORG-001,Goodwe 5KW 1-Phase Inverter Price,GOODWE-5KW-1P-PRICE,Base price for Goodwe 5KW 1-Phase inverter,base_price,PROD-035,inverter,,"{""basePrice"":31800,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-036,ORG-001,Goodwe 6KW 1-Phase Inverter Price,GOODWE-6KW-1P-PRICE,Base price for Goodwe 6KW 1-Phase inverter,base_price,PROD-036,inverter,,"{""basePrice"":33000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-037,ORG-001,Goodwe 8KW 3-Phase Inverter Price,GOODWE-8KW-3P-PRICE,Base price for Goodwe 8KW 3-Phase inverter,base_price,PROD-037,inverter,,"{""basePrice"":53400,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-038,ORG-001,Goodwe 10KW 3-Phase Inverter Price,GOODWE-10KW-3P-PRICE,Base price for Goodwe 10KW 3-Phase inverter,base_price,PROD-038,inverter,,"{""basePrice"":54300,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-039,ORG-001,Goodwe 15KW 3-Phase Inverter Price,GOODWE-15KW-3P-PRICE,Base price for Goodwe 15KW 3-Phase inverter,base_price,PROD-039,inverter,,"{""basePrice"":62900,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-040,ORG-001,Goodwe 20KW 3-Phase Inverter Price,GOODWE-20KW-3P-PRICE,Base price for Goodwe 20KW 3-Phase inverter,base_price,PROD-040,inverter,,"{""basePrice"":65800,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-041,ORG-001,Goodwe 25KW 3-Phase Inverter Price,GOODWE-25KW-3P-PRICE,Base price for Goodwe 25KW 3-Phase inverter,base_price,PROD-041,inverter,,"{""basePrice"":98000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-042,ORG-001,Goodwe 36KW 3-Phase Inverter Price,GOODWE-36KW-3P-PRICE,Base price for Goodwe 36KW 3-Phase inverter,base_price,PROD-042,inverter,,"{""basePrice"":124000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-043,ORG-001,Goodwe 50KW 3-Phase Inverter Price,GOODWE-50KW-3P-PRICE,Base price for Goodwe 50KW 3-Phase inverter,base_price,PROD-043,inverter,,"{""basePrice"":159600,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-044,ORG-001,Goodwe 80KW 3-Phase Inverter Price,GOODWE-80KW-3P-PRICE,Base price for Goodwe 80KW 3-Phase inverter,base_price,PROD-044,inverter,,"{""basePrice"":220500,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-045,ORG-001,Goodwe 100KW 3-Phase Inverter Price,GOODWE-100KW-3P-PRICE,Base price for Goodwe 100KW 3-Phase inverter,base_price,PROD-045,inverter,,"{""basePrice"":260000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-046,ORG-001,SolarEdge 3KW 1-Phase Inverter Price,SOLAREDGE-3KW-1P-PRICE,Base price for SolarEdge 3KW 1-Phase inverter,base_price,PROD-046,inverter,,"{""basePrice"":18500,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-047,ORG-001,SolarEdge 5KW 1-Phase Inverter Price,SOLAREDGE-5KW-1P-PRICE,Base price for SolarEdge 5KW 1-Phase inverter,base_price,PROD-047,inverter,,"{""basePrice"":29000,""taxRate"":5""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-048,ORG-001,SolarEdge 8KW 3-Phase Inverter Price,SOLAREDGE-8KW-3P-PRICE,Base price for SolarEdge 8KW 3-Phase inverter,base_price,PROD-048,inverter,,"{""basePrice"":58000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
PRICE-049,ORG-001,SolarEdge 10KW 3-Phase Inverter Price,SOLAREDGE-10KW-3P-PRICE,Base price for SolarEdge 10KW 3-Phase inverter,base_price,PROD-049,inverter,,"{""basePrice"":63000,""taxRate"":5,""currency"":""INR""}",2024-01-01,,10,TRUE
