id,warehouse_id,category_id,name,code,description,type,brand,manufacturer,model_number,unit_of_measure,product_warranty_years,performance_warranty_years,status,specifications
PROD-001,ORG-001,CAT-003,Adani Solar Panel PERC DCR 530-550Wp,ADANI-PERC-DCR,Adani DCR approved PERC technology panel for subsidy projects,solar_panel,Adani,Adani Solar,PERC-545-DCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.5},""additional"":{""isDcr"":true,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
PROD-002,ORG-001,CAT-003,Adani Solar Panel TOPCon DCR 560-580Wp,ADANI-TOPCON-DCR,Adani DCR approved TOPCon technology panel for subsidy projects,solar_panel,Adani,Adani Solar,TOPCON-570-DCR,pcs,12,30,active,"{""common"":{""wattage"":570,""cellType"":""TOPCon"",""efficiency"":22.5},""additional"":{""isDcr"":true,""minWattage"":560,""maxWattage"":580,""technology"":""topcon""}}"
PROD-003,ORG-001,CAT-004,Adani Solar Panel PERC Non-DCR 530-550Wp,ADANI-PERC-NONDCR,Adani Non-DCR PERC panel for commercial projects,solar_panel,Adani,Adani Solar,PERC-545-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.5},""additional"":{""isDcr"":false,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
PROD-004,ORG-001,CAT-004,Adani Solar Panel TOPCon Non-DCR 600-620Wp,ADANI-TOPCON-NONDCR,Adani Non-DCR TOPCon panel for commercial projects,solar_panel,Adani,Adani Solar,TOPCON-610-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":610,""cellType"":""TOPCon"",""efficiency"":22.5},""additional"":{""isDcr"":false,""minWattage"":600,""maxWattage"":620,""technology"":""topcon""}}"
PROD-005,ORG-001,CAT-003,Waaree Solar Panel PERC DCR 530-550Wp,WAAREE-PERC-DCR,Waaree DCR approved PERC technology panel,solar_panel,Waaree,Waaree Energies,PERC-545-DCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.3},""additional"":{""isDcr"":true,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
PROD-006,ORG-001,CAT-003,Waaree Solar Panel TOPCon DCR 560-580Wp,WAAREE-TOPCON-DCR,Waaree DCR approved TOPCon technology panel,solar_panel,Waaree,Waaree Energies,TOPCON-570-DCR,pcs,12,30,active,"{""common"":{""wattage"":570,""cellType"":""TOPCon"",""efficiency"":22.3},""additional"":{""isDcr"":true,""minWattage"":560,""maxWattage"":580,""technology"":""topcon""}}"
PROD-007,ORG-001,CAT-004,Waaree Solar Panel PERC Non-DCR 530-550Wp,WAAREE-PERC-NONDCR,Waaree Non-DCR PERC panel for commercial,solar_panel,Waaree,Waaree Energies,PERC-545-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.3},""additional"":{""isDcr"":false,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
PROD-008,ORG-001,CAT-004,Waaree Solar Panel TOPCon Non-DCR 600-620Wp,WAAREE-TOPCON-NONDCR,Waaree Non-DCR TOPCon panel for commercial,solar_panel,Waaree,Waaree Energies,TOPCON-610-NONDCR,pcs,12,30,active,"{""common"":{""wattage"":610,""cellType"":""TOPCon"",""efficiency"":22.3},""additional"":{""isDcr"":false,""minWattage"":600,""maxWattage"":620,""technology"":""topcon""}}"
PROD-009,ORG-001,CAT-003,Premier Solar Panel PERC DCR 530-550Wp,PREMIER-PERC-DCR,Premier DCR approved PERC technology panel,solar_panel,Premier,Premier Energies,PERC-545-DCR,pcs,12,30,active,"{""common"":{""wattage"":540,""cellType"":""PERC"",""efficiency"":21.2},""additional"":{""isDcr"":true,""minWattage"":530,""maxWattage"":550,""technology"":""perc""}}"
,,,Premier Solar Panel TOPCon DCR 600-620Wp,PREMIER-TOPCON-DCR,Premier DCR approved TOPCON technology panel,solar_panel,Premier,Premier Energies,TOPCON-600-DCR,pcs,12,30,active,"{""common"":{""wattage"":600,""cellType"":""TOPCON"",""efficiency"":21.2},""additional"":{""isDcr"":true,""minWattage"":600,""maxWattage"":620,""technology"":""TOPCON""}}"
