id,organization_id,name,code,project_type,min_system_size_kw,max_system_size_kw,subsidy_per_kw,flat_subsidy,max_subsidy,description,effective_from,is_active
SUB-001,ORG-001,PM Surya Ghar - First 2KW,SUBSIDY-RES-UPTO2KW,residential,0,2,30000,,60000,₹30000/KW for first 2KW for individual residential,2024-01-01,TRUE
SUB-002,ORG-001,PM Surya Ghar - 3rd KW,SUBSIDY-RES-3KW,residential,3,3,18000,,78000,₹18000 for 3rd KW - total subsidy capped at ₹78000,2024-01-01,TRUE
SUB-003,ORG-001,PM Surya Ghar - Above 3KW,SUBSIDY-RES-ABOVE3KW,residential,4,10,,78000,78000,Flat ₹78000 subsidy for systems above 3KW (capped),2024-01-01,TRUE
SUB-004,ORG-001,PM Surya Ghar - Apartment Common,SUBSIDY-APT-COMMON,residential_apartment,1,500,18000,,9000000,₹18000/KW for apartment common areas up to 500KW,2024-01-01,TRUE
SUB-005,ORG-001,No Subsidy - Commercial,NO-SUBSIDY-COM,commercial,1,1000,0,,0,No subsidy for commercial projects,2024-01-01,TRUE
SUB-006,ORG-001,No Subsidy - Industrial,NO-SUBSIDY-IND,industrial,1,1000,0,,0,No subsidy for industrial projects,2024-01-01,TRUE
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Subcidy calculations are based on the wattpeak calculations,,,,,,,,,
,,,e.g. ,Subcidy amount is 30 rs per watt,,,UP to 2000W,,,,,
,,,,Subcidy amount is 18 rs per watt,,,2000W to 3000W,,,,,
,,,,,,,,,,,,
,,,if Installed DC capacity is 2160 (540Wp - 4 nos),,,,,,,,,
,,,Suncidy amount = 2000*30+ 160*18,,,,,,,,,
